Comment,Distance,Fo
OK08-DF-Ol18,53.63,79.62973327
OK08-DF-Ol18,80.45,79.30257253
OK08-DF-Ol18,107.27,79.43274316
OK08-DF-Ol18,134.08,79.31600081
OK08-DF-Ol18,160.9,79.06134168
OK08-DF-Ol18,187.72,78.77491991
OK08-DF-Ol18,214.53,78.45009046
OK08-DF-Ol18,241.35,78.51411747
OK08-DF-Ol19,0,76.61367602
OK08-DF-Ol19,25.06,72.52682347
OK08-DF-Ol19,50.12,72.01773121
OK08-DF-Ol19,75.17,72.22616876
OK08-DF-Ol19,100.23,72.30256627
OK08-DF-Ol19,125.29,72.13383125
OK08-DF-Ol19,150.35,72.29049855
OK08-DF-Ol19,175.41,72.30168757
OK08-DF-Ol19,200.47,72.35758558
OK08-DF-Ol19,225.52,72.4099855
OK08-DF-Ol20,0,80.09888946
OK08-DF-Ol20,22.1,80.48320677
OK08-DF-Ol20,44.2,80.38779199
OK08-DF-Ol20,66.31,80.42776009
OK08-DF-Ol20,88.41,80.33273769
OK08-DF-Ol20,110.51,80.33382804
OK08-DF-Ol20,132.61,80.02322219
OK08-DF-Ol20,154.71,80.08181932
OK08-DF-Ol20,176.82,79.97848773
OK08-DF-Ol20,198.92,79.91638551
OK08-DF-Ol21,0,75.12066941
OK08-DF-Ol21,19.48,77.23076797
OK08-DF-Ol21,38.96,75.31420324
OK08-DF-Ol21,58.44,73.94840934
OK08-DF-Ol21,77.92,72.99131412
OK08-DF-Ol21,97.4,72.28885355
OK08-DF-Ol21,116.89,72.22085918
OK08-DF-Ol21,136.37,71.99722271
OK08-DF-Ol21,155.85,72.11871908
OK08-DF-Ol21,175.33,71.99665313
OK08-DF-Ol22,20.27,81.42824153
OK08-DF-Ol22,40.54,82.06548658
OK08-DF-Ol22,60.81,82.19106376
OK08-DF-Ol22,81.08,81.98280865
OK08-DF-Ol22,101.35,81.85647607
OK08-DF-Ol22,121.62,81.58694209
OK08-DF-Ol22,141.89,81.44439644
OK08-DF-Ol22,162.16,81.17873943
OK08-DF-Ol22,182.43,81.19058636
OK08-DF-Ol23,0,76.93834807
OK08-DF-Ol23,25.3,77.06237938
OK08-DF-Ol23,50.59,76.97411925
OK08-DF-Ol23,75.89,76.91966941
OK08-DF-Ol23,101.19,76.92033215
OK08-DF-Ol23,126.48,76.95968804
OK08-DF-Ol23,151.78,76.82011655
OK08-DF-Ol23,177.08,76.90819815
OK08-DF-Ol23,202.37,76.83447459
OK08-DF-Ol23,227.67,76.85766443
OK08-DF-Ol24,0,78.41604708
OK08-DF-Ol24,20.3,78.08091961
OK08-DF-Ol24,40.6,77.34761684
OK08-DF-Ol24,60.91,76.54399613
OK08-DF-Ol24,81.21,76.04122027
OK08-DF-Ol24,101.51,75.62352364
OK08-DF-Ol24,121.81,75.14422621
OK08-DF-Ol24,142.11,75.04273401
OK08-DF-Ol24,162.42,74.98946512
OK08-DF-Ol24,182.72,74.95569765
